"Symbol","ShortName","EndDate","ListedCoID","IndustryNameC","IndustryCodeC"
"000001","平安银行","2014-12-31","101704","货币金融服务","J66"
"000001","平安银行","2015-12-31","101704","货币金融服务","J66"
"000001","平安银行","2016-12-31","101704","货币金融服务","J66"
"000001","平安银行","2017-12-31","101704","货币金融服务","J66"
"000001","平安银行","2018-12-31","101704","货币金融服务","J66"
"000001","平安银行","2019-12-31","101704","货币金融服务","J66"
"000001","平安银行","2020-12-31","101704","货币金融服务","J66"
"000001","平安银行","2021-12-31","101704","货币金融服务","J66"
"000002","万科A","2014-12-31","101775","房地产业","K70"
"000002","万科A","2015-12-31","101775","房地产业","K70"
"000002","万科A","2016-12-31","101775","房地产业","K70"
"000002","万科A","2017-12-31","101775","房地产业","K70"
"000002","万科A","2018-12-31","101775","房地产业","K70"
"000002","万科A","2019-12-31","101775","房地产业","K70"
"000002","万科A","2020-12-31","101775","房地产业","K70"
"000002","万科A","2021-12-31","101775","房地产业","K70"
"000004","国农科技","2014-12-31","102294","医药制造业","C27"
"000004","国农科技","2015-12-31","102294","医药制造业","C27"
"000004","国农科技","2016-12-31","102294","医药制造业","C27"
"000004","国农科技","2017-12-31","102294","医药制造业","C27"
"000004","国农科技","2018-12-31","102294","医药制造业","C27"
"000004","国农科技","2019-12-31","102294","医药制造业","C27"
"000004","国华网安","2020-12-31","102294","软件和信息技术服务业","I65"
"000004","国华网安","2021-12-31","102294","软件和信息技术服务业","I65"
"000005","世纪星源","2014-12-31","102295","房地产业","K70"
"000005","世纪星源","2015-12-31","102295","房地产业","K70"
"000005","世纪星源","2016-12-31","102295","生态保护和环境治理业","N77"
"000005","世纪星源","2017-12-31","102295","生态保护和环境治理业","N77"
"000005","世纪星源","2018-12-31","102295","生态保护和环境治理业","N77"
"000005","世纪星源","2019-12-31","102295","生态保护和环境治理业","N77"
"000005","世纪星源","2020-12-31","102295","生态保护和环境治理业","N77"
"000005","ST 星源","2021-12-31","102295","生态保护和环境治理业","N77"
"000006","深振业A","2014-12-31","102296","房地产业","K70"
"000006","深振业A","2015-12-31","102296","房地产业","K70"
"000006","深圳业A","2016-12-31","102296","房地产业","K70"
"000006","深振业A","2017-12-31","102296","房地产业","K70"
"000006","深振业A","2018-12-31","102296","房地产业","K70"
"000006","深振业A","2019-12-31","102296","房地产业","K70"
"000006","深振业A","2020-12-31","102296","房地产业","K70"
"000006","深振业A","2021-12-31","102296","房地产业","K70"
"000007","零七股份","2014-12-31","102313","住宿业","H61"
"000007","全新好","2015-12-31","102313","住宿业","H61"
"000007","全新好","2016-12-31","102313","住宿业","H61"
"000007","全新好","2017-12-31","102313","房地产业","K70"
"000007","全新好","2018-12-31","102313","房地产业","K70"
"000007","全新好","2019-12-31","102313","房地产业","K70"
"000007","全新好","2020-12-31","102313","房地产业","K70"
"000007","*ST 全新","2021-12-31","102313","房地产业","K70"
"000008","宝利来","2014-12-31","102314","住宿业","H61"
"000008","神州高铁","2015-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000008","神州高铁","2016-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000008","神州高铁","2017-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000008","神州高铁","2018-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000008","神州高铁","2019-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000008","神州高铁","2020-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000008","神州高铁","2021-12-31","102314","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000009","中国宝安","2014-12-31","102336","综合","S90"
"000009","中国宝安","2015-12-31","102336","综合","S90"
"000009","中国宝安","2016-12-31","102336","综合","S90"
"000009","中国宝安","2017-12-31","102336","综合","S90"
"000009","中国宝安","2018-12-31","102336","综合","S90"
"000009","中国宝安","2019-12-31","102336","综合","S90"
"000009","中国宝安","2020-12-31","102336","综合","S90"
"000009","中国宝安","2021-12-31","102336","综合","S90"
"000010","深华新","2014-12-31","102338","专用设备制造业","C35"
"000010","深华新","2015-12-31","102338","土木工程建筑业","E48"
"000010","美丽生态","2016-12-31","102338","土木工程建筑业","E48"
"000010","美丽生态","2017-12-31","102338","土木工程建筑业","E48"
"000010","美丽生态","2018-12-31","102338","土木工程建筑业","E48"
"000010","*ST 美丽","2019-12-31","102338","土木工程建筑业","E48"
"000010","美丽生态","2020-12-31","102338","土木工程建筑业","E48"
"000010","美丽生态","2021-12-31","102338","土木工程建筑业","E48"
"000011","深物业A","2014-12-31","101859","房地产业","K70"
"000011","深物业A","2015-12-31","101859","房地产业","K70"
"000011","深物业A","2016-12-31","101859","房地产业","K70"
"000011","深物业A","2017-12-31","101859","房地产业","K70"
"000011","深物业A","2018-12-31","101859","房地产业","K70"
"000011","深物业A","2019-12-31","101859","房地产业","K70"
"000011","深物业A","2020-12-31","101859","房地产业","K70"
"000011","深物业A","2021-12-31","101859","房地产业","K70"
"000012","南玻A","2014-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2015-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2016-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2017-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2018-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2019-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2020-12-31","101860","非金属矿物制品业","C30"
"000012","南玻A","2021-12-31","101860","非金属矿物制品业","C30"
"000014","沙河股份","2014-12-31","101621","房地产业","K70"
"000014","沙河股份","2015-12-31","101621","房地产业","K70"
"000014","沙河股份","2016-12-31","101621","房地产业","K70"
"000014","沙河股份","2017-12-31","101621","房地产业","K70"
"000014","沙河股份","2018-12-31","101621","房地产业","K70"
"000014","沙河股份","2019-12-31","101621","房地产业","K70"
"000014","沙河股份","2020-12-31","101621","房地产业","K70"
"000014","沙河股份","2021-12-31","101621","房地产业","K70"
"000016","深康佳A","2014-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2015-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2016-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2017-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2018-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2019-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2020-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000016","深康佳A","2021-12-31","101623","计算机、通信和其他电子设备制造业","C39"
"000017","深中华A","2014-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","深中华A","2015-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","深中华A","2016-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","深中华A","2017-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","深中华A","2018-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","深中华A","2019-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","*ST 中华A","2020-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000017","深中华A","2021-12-31","101711","铁路、船舶、航空航天和其它运输设备制造业","C37"
"000018","中冠A","2014-12-31","101712","纺织业","C17"
"000018","神州长城","2015-12-31","101712","纺织业","C17"
"000018","神州长城","2016-12-31","101712","建筑装饰和其他建筑业","E50"
"000018","神州长城","2017-12-31","101712","建筑装饰和其他建筑业","E50"
"000018","神州长城","2018-12-31","101712","建筑装饰和其他建筑业","E50"
"000019","深深宝A","2014-12-31","101629","酒、饮料和精制茶制造业","C15"
"000019","深深宝A","2015-12-31","101629","酒、饮料和精制茶制造业","C15"
"000019","深深宝A","2016-12-31","101629","酒、饮料和精制茶制造业","C15"
"000019","深深宝A","2017-12-31","101629","酒、饮料和精制茶制造业","C15"
"000019","深粮控股","2018-12-31","101629","酒、饮料和精制茶制造业","C15"
"000019","深粮控股","2019-12-31","101629","批发业","F51"
"000019","深粮控股","2020-12-31","101629","批发业","F51"
"000019","深粮控股","2021-12-31","101629","批发业","F51"
"000020","深华发A","2014-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2015-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2016-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2017-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2018-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2019-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2020-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000020","深华发A","2021-12-31","101631","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2014-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2015-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2016-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2017-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2018-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2019-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2020-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000021","深科技","2021-12-31","101632","计算机、通信和其他电子设备制造业","C39"
"000022","深赤湾A","2014-12-31","101633","水上运输业","G55"
"000022","深赤湾A","2015-12-31","101633","水上运输业","G55"
"000022","深赤湾Ａ","2016-12-31","101633","水上运输业","G55"
"000022","深赤湾A","2017-12-31","101633","水上运输业","G55"
"000023","深天地A","2014-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2015-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2016-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2017-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2018-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2019-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2020-12-31","101721","非金属矿物制品业","C30"
"000023","深天地A","2021-12-31","101721","非金属矿物制品业","C30"
"000024","招商地产","2014-12-31","101722","房地产业","K70"
"000025","特力A","2014-12-31","101778","批发业","F51"
"000025","特力A","2015-12-31","101778","批发业","F51"
"000025","特力A","2016-12-31","101778","批发业","F51"
"000025","特力A","2017-12-31","101778","批发业","F51"
"000025","特力A","2018-12-31","101778","批发业","F51"
"000025","特力A","2019-12-31","101778","批发业","F51"
"000025","特力A","2020-12-31","101778","批发业","F51"
"000025","特力A","2021-12-31","101778","批发业","F51"
"000026","飞亚达A","2014-12-31","101779","零售业","F52"
"000026","飞亚达A","2015-12-31","101779","零售业","F52"
"000026","飞亚达A","2016-12-31","101779","零售业","F52"
"000026","飞亚达A","2017-12-31","101779","零售业","F52"
"000026","飞亚达A","2018-12-31","101779","零售业","F52"
"000026","飞亚达","2019-12-31","101779","零售业","F52"
"000026","飞亚达","2020-12-31","101779","零售业","F52"
"000026","飞亚达","2021-12-31","101779","零售业","F52"
"000027","深圳能源","2014-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2015-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2016-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2017-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2018-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2019-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2020-12-31","101655","电力、热力生产和供应业","D44"
"000027","深圳能源","2021-12-31","101655","电力、热力生产和供应业","D44"
"000028","国药一致","2014-12-31","101656","批发业","F51"
"000028","国药一致","2015-12-31","101656","批发业","F51"
"000028","国药一致","2016-12-31","101656","批发业","F51"
"000028","国药一致","2017-12-31","101656","批发业","F51"
"000028","国药一致","2018-12-31","101656","批发业","F51"
"000028","国药一致","2019-12-31","101656","批发业","F51"
"000028","国药一致","2020-12-31","101656","批发业","F51"
"000028","国药一致","2021-12-31","101656","批发业","F51"
"000029","深深房A","2014-12-31","102321","房地产业","K70"
"000029","深深房A","2015-12-31","102321","房地产业","K70"
"000029","深深房A","2016-12-31","102321","房地产业","K70"
"000029","深深房A","2017-12-31","102321","房地产业","K70"
"000029","深深房A","2018-12-31","102321","房地产业","K70"
"000029","深深房A","2019-12-31","102321","房地产业","K70"
"000029","深深房A","2020-12-31","102321","房地产业","K70"
"000029","深深房A","2021-12-31","102321","房地产业","K70"
"000030","富奥股份","2014-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2015-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2016-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2017-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2018-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2019-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2020-12-31","102341","汽车制造业","C36"
"000030","富奥股份","2021-12-31","102341","汽车制造业","C36"
"000031","中粮地产","2014-12-31","101916","房地产业","K70"
"000031","中粮地产","2015-12-31","101916","房地产业","K70"
"000031","中粮地产","2016-12-31","101916","房地产业","K70"
"000031","中粮地产","2017-12-31","101916","房地产业","K70"
"000031","大悦城","2018-12-31","101916","房地产业","K70"
"000031","大悦城","2019-12-31","101916","房地产业","K70"
"000031","大悦城","2020-12-31","101916","房地产业","K70"
"000031","大悦城","2021-12-31","101916","房地产业","K70"
"000032","深桑达A","2014-12-31","101917","计算机、通信和其他电子设备制造业","C39"
"000032","深桑达A","2015-12-31","101917","批发业","F51"
