asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
6,0.061684374,2018,1.28e-05,0.2674101,-0.051235571,0.916666667,-0.240196078,-0.465481526,1.261156134,0.858604439,0.608942921,0.069193311,8057378.307000001
12,-0.030519485,2018,2.57e-05,0.188846423,-0.079703538,-0.678921569,0.323529412,-0.460774931,1.066217485,0.902628348,0.025901685,0.03344519,9470669.816666668
16,-0.010997549,2018,1.93e-05,0.624161418,-0.212296127,-0.360294118,0.041666667,-0.457823178,1.202762939,0.677032289,-0.483943814,0.271859944,8024116.336666671
31,-0.018377526,2018,5.92e-06,-0.219331797,0.12209808,-0.50245098,-0.990196078,-0.39149418,1.257684801,0.776975353,0.714421188,0.049653555,10332174.57777778
39,-0.015167844,2018,2.48e-05,-0.322696611,0.013193088,-0.433823529,0.276960784,-0.534320793,1.199469731,0.308204052,0.152827479,0.236189548,17861076.109999992
50,0.00080047,2018,8.29e-06,0.132559398,-0.064551357,-0.024509804,-0.897058824,-0.507991243,1.062856659,0.260008283,-1.137718748,-0.166706283,19249680.36416665
60,-0.00500978,2018,2.36e-05,-0.202874188,-0.033393137,-0.18872549,0.225490196,-0.462437206,1.305245525,0.717221872,0.406900758,0.040409224,18384690.02833332
65,0.025055216,2018,0.000110069,-0.165083947,0.132845187,0.556372549,0.980392157,-0.37132494,1.282325965,1.210120677,0.456468795,0.016784143,5775217.627500002
88,0.023693541,2018,1.21e-05,0.071539667,-0.177024709,0.539215686,-0.318627451,-0.355781378,1.202264,0.730605322,0.246596344,0.164512561,12433317.000000002
89,-0.037219412,2018,4.48e-05,-0.134802545,0.144915447,-0.75245098,0.703431373,-0.106326843,0.829064161,-0.344793366,-0.070161417,-0.067241955,16725734.319999995
90,0.020841717,2018,4.12e-05,0.467283144,0.059439259,0.473039216,0.637254902,-0.444249088,1.170872465,0.937913331,0.492163739,0.056706981,6270177.427499999
99,0.015919511,2018,1.34e-05,-0.037222313,0.106739863,0.37254902,-0.193627451,-0.383199876,1.091166636,0.591246016,-0.47862519,0.581333742,4229866.473333332
100,0.029985757,2018,7.17e-06,0.874545986,0.160913544,0.637254902,-0.965686275,-0.361631521,1.138365001,0.640481338,-0.143402703,0.301760507,34358082.59583331
157,0.001492929,2018,7.58e-05,0.101317382,0.514150317,-0.009803922,0.916666667,-0.175915391,0.970018899,0.748684258,0.84305948,-0.009636804,24764206.72083333
158,0.043911675,2018,1.09e-05,0.89826548,-0.223190951,0.794117647,-0.517156863,-0.348080132,1.191893927,1.158656262,-0.659067971,0.666505934,8407274.239999998
301,-0.073660642,2018,1.06e-05,0.018157155,-0.133408661,-0.950980392,-0.588235294,0.028381282,0.797938822,0.59356608,0.106231413,-0.147215201,7519564.456666671
333,0.037148742,2018,9.26e-06,0.166788676,0.004049963,0.732843137,-0.789215686,-0.329885983,1.564858939,-0.213573534,1.199933491,0.067917666,304133746.1741666
338,-0.009702333,2018,2.23e-05,0.139016629,0.457625761,-0.316176471,0.161764706,-0.042316139,1.24617242,0.412450052,1.228894248,-0.252355596,35595846.04333334
400,-0.005555383,2018,1.4e-05,0.442173909,0.148901977,-0.208333333,-0.154411765,-0.334844363,0.966569409,0.886754089,0.259073044,-0.377934457,9515476.424999995
401,-0.063495955,2018,1.5e-05,-0.077951312,1.00537635,-0.928921569,-0.105392157,-0.115832308,1.160997384,0.45226218,0.96049627,-0.212404425,15935343.99499998
413,0.000928753,2018,7.51e-06,-0.481808607,-0.154710933,-0.019607843,-0.948529412,-0.52218452,1.082176995,1.136766117,0.139582508,-0.424630097,26242450.81750002
423,0.007852671,2018,8.85e-06,-0.085383871,-0.257692399,0.174019608,-0.840686275,-0.341825847,0.936147956,-0.391026785,-0.328210818,0.398298385,34381433.09750002
425,0.004729652,2018,5.69e-05,0.305635281,0.050107334,0.071078431,0.81372549,-0.306245763,1.242783652,0.440683733,0.45439902,0.135857048,27554643.732500006
488,-0.062052673,2018,8.98e-06,-0.047311389,-0.356002561,-0.921568627,-0.830882353,-0.4777061,1.216291565,0.817222331,0.694479551,0.039766507,14139548.345833339
507,0.029702141,2018,7.8e-05,-0.15547455,-0.347979932,0.629901961,0.926470588,-0.359341145,0.988918716,0.603260677,0.29431855,-0.182103385,6656522.810833334
528,-0.006804649,2018,3.46e-05,-0.045058657,-0.185923565,-0.24754902,0.509803922,-0.075386472,1.31044068,0.088951869,0.162744193,-0.156063631,10886316.120833328
552,-0.043299995,2018,1.18e-05,-0.156426946,-0.153683639,-0.823529412,-0.352941176,-0.262520028,1.053273753,1.036727234,0.731521812,-0.211579731,4918910.642500005
600,0.014347708,2018,9.2e-06,-0.232547616,0.185101009,0.330882353,-0.794117647,-0.35085011,1.034356901,1.37089094,0.898136005,-0.051438159,6316805.711666661
630,-0.010178547,2018,1.02e-05,-0.223452394,0.110236704,-0.333333333,-0.656862745,-0.330255772,0.850376688,0.309485211,-0.294668088,0.051123621,22507160.445000004
651,0.014020782,2018,1.81e-05,0.064275579,0.164214938,0.321078431,-0.007352941,-0.19571252,1.203023183,-0.600380332,0.450352021,-0.112189403,262257909.46166644
672,-0.034578487,2018,4.79e-05,0.961340189,0.387605013,-0.725490196,0.730392157,-0.135355619,1.192189398,0.458615542,1.055420781,-0.112119524,8085963.052499999
681,0.017096597,2018,4.01e-05,-0.051582489,-0.335204483,0.406862745,0.62745098,0.180152834,1.179188135,-0.302392529,-1.245786385,0.524829647,7515133.444166668
703,-0.069786166,2018,5.64e-05,-0.115338817,-0.074565351,-0.941176471,0.806372549,-0.255959597,1.164626874,-0.009296129,0.289481751,-0.248117761,31629845.092999984
709,-0.009732004,2018,5.36e-05,-0.304057467,-0.001571571,-0.318627451,0.779411765,-0.258700617,0.835394411,0.443352638,0.694487641,-0.238654368,34416439.17250001
719,-0.012009305,2018,1.23e-05,-0.034453346,0.081019217,-0.37745098,-0.279411765,-0.124186103,0.820085586,0.623878058,0.247764873,-0.186940114,5154826.681666669
735,0.064044199,2018,1.05e-05,0.024151347,-0.247791785,0.926470588,-0.595588235,0.17911979,0.83200266,0.919201091,-0.471324971,-0.079666279,11024295.73166667
751,0.009899811,2018,1.15e-05,-0.280373247,0.066693761,0.230392157,-0.416666667,-0.453142612,1.000956962,0.928566804,0.329489422,-0.271693061,5286995.1716666715
758,0.002622065,2018,8.12e-05,-0.248038631,0.205982257,0.022058824,0.933823529,-0.439353768,1.219717603,0.767206866,-0.050083804,0.178383404,9489849.138333336
759,0.014694502,2018,1.29e-05,-0.089475836,-0.034915321,0.338235294,-0.230392157,-0.457930568,1.035064821,0.474194665,0.122579144,0.034356631,4813937.512499998
778,-0.018330673,2018,9.72e-06,-0.202708904,0.05973277,-0.5,-0.715686275,-0.156748612,0.92601816,0.408274412,0.410788776,-0.062815035,18159166.838333324
797,0.021295061,2018,6.94e-05,0.005495058,-0.15085577,0.482843137,0.892156863,-0.465141028,1.077133399,0.765580583,0.063515961,0.298753867,7395377.576666673
801,0.048015354,2018,1.04e-05,-0.04928779,0.337986501,0.835784314,-0.620098039,-0.251913512,1.121120701,0.716649954,-1.043644197,0.672408466,5303252.460833336
807,0.039886887,2018,4.13e-06,-0.084425896,-0.108316252,0.75245098,-0.99754902,-0.623151793,1.605634989,1.088335613,0.129516478,0.599665951,14334228.519166676
