asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,rank_beta,rank_br,choice,industry
2,-0.002161059,0.013226103,-0.002178937,0.007658002,-0.000392648,2017,0.0,0.157759387,-0.08850001866666667,-1.0,0,K70
2,0.012361943,0.015114427,-0.007320321,0.010852744,0.007775406,2018,0.0,-0.037495446,-0.08850001866666667,-1.0,0,K70
2,-0.013929703,0.013286552,-0.007838407,0.002421459,0.005448325,2019,0.0,-0.070254075,-0.08850001866666667,-1.0,0,K70
4,-0.095055239,0.00657348,0.013556394,-0.004412667,0.004345303,2017,0.0,0.066475468,-0.05649979800000001,-1.0,0,C27
4,0.009745737,0.003744188,-9.35e-07,-0.013190752,-0.000426268,2018,0.0,0.385300094,-0.05649979800000001,-1.0,0,C27
4,0.038220502,0.008011868,0.01141564,0.001171597,0.008528752,2019,0.0,-0.387973129,-0.05649979800000001,-1.0,0,C27
6,0.088630026,0.012278607,0.005352058,-0.003397656,0.001030809,2016,0.0,-0.321147982,0.68032322825,-0.5875,0,K70
6,0.008461192,0.007892949,0.01394143,0.004407352,-0.003907627,2017,0.0,-0.051235571,0.68032322825,-0.5875,0,K70
6,0.061684374,0.01224148,0.012478449,0.007676671,8.1e-05,2018,1.28e-05,0.2674101,0.68032322825,-0.5875,0,K70
6,0.017350535,0.012611561,0.008586044,0.006089429,0.000691933,2019,0.0,-0.248165372,0.68032322825,-0.5875,0,K70
8,-0.009676211,0.010191383,0.003328534,-0.002926881,-0.001122884,2016,5.16e-05,-0.322403628,-0.2526826736666667,0.7289199743333333,1,C37
8,0.001622485,0.008866159,-0.002022304,-0.00872532,0.0028046,2017,2.09e-05,-0.247817124,-0.2526826736666667,0.7289199743333333,1,C37
8,-0.048057413,0.008785999,0.006288028,-0.002659228,-0.000578679,2019,9.54e-06,-0.256721741,-0.2526826736666667,0.7289199743333333,1,C37
9,-0.037778739,0.009351166,0.005436572,-0.008300005,-0.003481978,2016,0.0,-0.402335637,-0.246885615,-1.0,0,S90
