asset,date,rank_beta,rank_br,xret_cumulative,ch4mkt_beta_avg,ch4smb_beta_avg,ch4vmg_beta_avg,ch4pmo_beta_avg,roe_avg,roa_avg,log_me_avg,bm_avg,ep_value,sue_value,cdi_value,ndp_value,ORR,TOR_growth,TOC_growth,OC_growth,Total_AGR,tl_growth,COD_IE,COD_FE,LEV,LNTAS,Liquidity,FAP,LNTL
6,2018,0.916666667,-0.240196078,0.2674101,1.052253237,0.741300004,0.207942421,0.569919925,0.027971054,0.012279254,15.75348526,0.984463876,0.015313623,0.019462597,-2.463151657,0.623950712,0.260421604,0.260421604,0.219276744,0.148542063,-0.03840683,-0.142868065,,0.018681586,2.088804817,23.42920725,2.754513335,0.000985957,22.7776958
8,2016,-0.195476575,0.757673667,-0.322403628,0.673471998,-0.518027477,-0.657421066,0.693231676,0.00769799,0.005554425,16.61169413,0.402330416,0.000808542,1.50575289,-0.649800828,0.146854922,0.28421672,0.28421672,0.30307932,0.168449868,0.166116307,0.232412354,,0.024365867,1.374075816,23.00451785,1.962625925,0.024843366,21.7034397
8,2019,-0.742788462,-0.627403846,-0.256721741,0.752096445,0.559083966,0.412609702,0.568006861,-0.004308802,-0.002666316,15.73148731,1.053536575,-0.014591955,-2.745860794,-0.804070805,0.93716505,0.239947241,0.239947241,0.106932227,0.085281021,0.074199052,0.351846898,,0.021696348,1.955475307,23.2684714,1.185639723,0.033596004,22.55229175
11,2019,0.860576923,-0.165865385,-0.225864392,1.399708537,1.334536297,0.371993406,-0.728759505,0.016129638,0.004341306,15.82027278,0.476503009,0.032284277,-0.235190543,-2.620845307,0.641765189,0.787984582,0.787984582,0.452516745,0.233106524,0.213249269,0.176404562,,0.000313485,3.159232693,23.3098021,2.120331239,0.008196379,22.92922585
12,2016,0.243941842,0.621970921,-0.296138339,1.558348445,0.641856551,0.395701743,0.326526639,0.029712589,0.013864355,16.29200685,0.737398745,0.018507839,0.167890787,-1.788185117,0.890851024,0.106552536,0.106552536,0.12683388,0.096851075,0.144701026,0.19843727,,0.031379001,2.251400504,23.74490032,0.807263743,0.56001964,23.15761118
12,2017,0.334196891,-0.28238342,-0.079703538,1.093374675,0.865707375,0.076892286,0.156669122,0.015746835,0.007251209,15.91405895,1.147778207,0.01672156,-1.028837172,,0.798794725,-0.106546143,-0.106546143,-0.107801571,-0.104432313,-0.10122503,-0.234203299,,0.031275182,1.89967399,23.63817773,0.809076632,0.558440145,22.89077263
12,2018,-0.678921569,0.323529412,0.188846423,1.169370559,0.492251139,-0.392109377,0.321259693,0.017318816,0.009040901,15.99567771,1.117300954,0.011398999,0.095344296,-2.441927867,0.598792571,-0.094925057,-0.094925057,-0.123488033,-0.139405411,0.049716286,0.065875109,,0.026288301,1.926352321,23.68669766,0.973425695,0.438045971,22.95456879
12,2019,-0.629807692,-0.240384615,1.059974196,1.294375685,0.937486234,0.146095209,-0.491203925,0.036348698,0.020016969,16.44130944,0.776121328,0.028862244,0.374758839,,0.224069681,0.495133723,0.495133723,0.258318723,0.306073618,-0.041375653,-0.260614324,,0.026012253,1.589585823,23.64444166,1.661898269,0.470957615,22.65263319
16,2018,-0.360294118,0.041666667,0.624161418,1.015862435,0.333539636,-0.598528207,0.144022853,0.007788123,0.002120413,15.99038122,1.177226508,-0.025421059,-1.718909986,-1.238309355,2.438008183,-0.326936325,-0.326936325,-0.312574828,-0.34064337,0.146797037,0.194546058,,0.017232782,4.379235447,24.49622916,1.166472034,0.059863931,24.23700449
19,2019,0.538461538,0.120192308,-0.085059288,1.159202352,1.169659797,0.269348635,0.030369966,0.024124738,0.016216027,14.97712725,1.498864041,0.046238383,1.054587968,-0.795518045,0.856696857,0.110066208,0.110066208,0.101739281,0.10214553,0.199326155,0.625370033,,0.01089856,1.878210425,22.85503144,1.764816533,0.158878676,22.09484297
21,2016,-0.363489499,0.321486268,-0.2112828,1.256579713,0.307177806,-1.22601037,-0.656716276,0.025901759,0.009977185,16.37169566,0.455753318,0.009096306,1.356220845,-1.589612569,0.402238007,0.150010739,0.150010739,0.155438022,0.173999134,0.01258627,-0.003196057,,-0.00665073,2.503811327,23.42344743,1.082421994,0.172015447,22.9136361
21,2017,0.46373057,-0.652849741,0.188620373,1.119234861,0.606246598,-1.269825125,0.525160254,0.03108879,0.012970111,16.134602,0.622377557,0.009395779,0.194107859,,0.276402526,-0.217602455,-0.217602455,-0.238184613,-0.252721663,0.014238259,-0.030037138,,-0.016234765,2.349568846,23.43758528,1.114495267,0.165522099,22.88313861
