asset,date,br,start_date,end_date,compounded_xret,ch4mkt_beta,ch4pmo_beta,ch4smb_beta,ch4vmg_beta
2,2014,0.0,2015/7/1,2016/6/30,0.72654013,0.785348767,0.099411558,-0.537780713,0.298681079
2,2015,0.0,2016/7/1,2017/6/30,0.048989492,1.138570477,-1.076519716,-0.391076187,1.369828132
2,2016,0.0,2017/7/1,2018/6/30,0.003297036,1.694022412,1.18406971,-0.899904789,0.973800342
2,2017,0.0,2018/7/1,2019/6/30,0.157759387,1.377565272,0.4547585,-0.769891629,0.470323733
2,2018,0.0,2019/7/1,2020/6/30,-0.037495446,1.147035778,0.518429809,-0.425422232,0.704725809
2,2019,0.0,2020/7/1,2021/6/30,-0.070254075,0.842165327,0.513389754,-0.156170776,1.379992919
4,2014,0.0,2015/7/1,2016/6/30,-0.055730616,1.082718864,-0.623733488,1.406325692,0.877864784
4,2015,0.0,2016/7/1,2017/6/30,-0.310803301,0.709339029,1.417033716,1.060258958,-1.563302068
4,2016,0.0,2017/7/1,2018/6/30,-0.247557824,0.653845782,0.138249385,0.207080435,-1.114930452
4,2017,0.0,2018/7/1,2019/6/30,0.066475468,0.598523229,0.720264955,1.041391544,0.126519054
4,2018,0.0,2019/7/1,2020/6/30,0.385300094,0.861872076,-0.102275943,1.076680632,-0.450044767
4,2019,0.0,2020/7/1,2021/6/30,-0.387973129,0.925882167,0.132721492,1.166872558,-0.403937917
5,2014,0.0,2015/7/1,2016/6/30,-0.19234875,1.013540492,-0.065594997,0.36307655,-1.051499715
5,2015,2.25e-05,2016/7/1,2017/6/30,-0.315728206,0.987965341,-0.210919755,1.008482592,0.284453177
5,2016,2.28e-05,2017/7/1,2018/6/30,-0.443939771,1.088274932,0.378414369,1.209832156,0.572332445
5,2017,3.39e-05,2018/7/1,2019/6/30,0.011660028,1.019968744,-0.142055266,1.413283587,0.478306597
5,2018,2.36e-05,2019/7/1,2020/6/30,-0.148008143,1.072249206,0.343757192,1.143722022,0.167949568
5,2019,1.03e-05,2020/7/1,2021/6/30,-0.16685486,0.723494925,-0.162361753,1.073342058,-0.093556746
6,2014,0.0,2015/7/1,2016/6/30,-0.457281907,1.220354113,-0.020103897,0.539128006,-0.230466835
6,2015,0.0,2016/7/1,2017/6/30,0.202078309,0.740991559,-0.6395374,1.090492341,0.226142624
6,2016,0.0,2017/7/1,2018/6/30,-0.321147982,1.246812811,-0.19335969,0.813276978,0.090347311
6,2017,0.0,2018/7/1,2019/6/30,-0.051235571,1.280724381,0.059692237,1.000384389,0.671985518
6,2018,1.28e-05,2019/7/1,2020/6/30,0.2674101,1.052253237,0.569919925,0.741300004,0.207942421
6,2019,0.0,2020/7/1,2021/6/30,-0.248165372,1.180903588,-0.079280517,0.837034471,0.235786233
7,2014,0.0,2015/7/1,2016/6/30,-0.186715233,,,,
7,2015,0.0,2016/7/1,2017/6/30,-0.008151627,-0.017348146,-0.235826476,0.989165772,-0.157166404
7,2016,0.0,2017/7/1,2018/6/30,-0.164047164,0.156894864,0.467122577,1.466273777,0.53357703
7,2017,0.0,2018/7/1,2019/6/30,-0.498188232,0.805626149,-0.923753849,1.52478146,0.061307252
7,2018,0.0,2019/7/1,2020/6/30,0.259343757,0.489301482,0.096287893,0.86657743,-0.165326999
7,2019,0.0,2020/7/1,2021/6/30,-0.562704233,0.062270539,-0.706134788,0.988163576,-0.031225376
8,2014,0.0,2015/7/1,2016/6/30,0.196413196,1.015511253,-0.085533034,0.239301147,-0.477814445
8,2015,5.07e-05,2016/7/1,2017/6/30,-0.340896118,0.882799932,0.104598205,0.155609103,-0.599059659
8,2016,5.16e-05,2017/7/1,2018/6/30,-0.322403628,0.673471998,0.693231676,-0.518027477,-0.657421066
8,2017,2.09e-05,2018/7/1,2019/6/30,-0.247817124,0.775411307,0.343157202,0.436108264,-0.392364112
8,2018,1.97e-05,2019/7/1,2020/6/30,-0.229533231,0.933035877,0.069311933,0.711349403,-0.052938336
8,2019,9.54e-06,2020/7/1,2021/6/30,-0.256721741,0.752096445,0.568006861,0.559083966,0.412609703
9,2014,0.0,2015/7/1,2016/6/30,-0.172749649,1.04296071,-0.365310203,0.459401787,-0.679492765
9,2015,0.0,2016/7/1,2017/6/30,-0.211102942,1.018091953,-0.122250239,0.900291711,-0.292324228
9,2016,0.0,2017/7/1,2018/6/30,-0.402335637,1.373269054,0.256108643,1.416455411,0.437182735
9,2017,0.0,2018/7/1,2019/6/30,0.152512612,1.20742744,0.134649475,1.191677284,-0.285408106
9,2018,0.0,2019/7/1,2020/6/30,0.769162742,1.274767589,-0.167247294,0.791498704,-0.234716129
9,2019,0.0,2020/7/1,2021/6/30,1.120849263,1.156691777,-0.731280897,0.829433782,-0.710677185
10,2014,0.0,2015/7/1,2016/6/30,-0.287804442,0.950628786,-0.033161732,1.482052171,-0.34737794
10,2015,0.0,2016/7/1,2017/6/30,-0.365046081,0.940510156,-0.228092356,1.390588185,0.132745285
10,2016,0.0,2017/7/1,2018/6/30,-0.237592029,1.316726501,0.882128612,1.497895229,0.438763451
10,2017,0.0,2018/7/1,2019/6/30,-0.117699088,0.943421662,-0.038420181,0.733464558,0.419331573
10,2019,0.0,2020/7/1,2021/6/30,0.03655573,0.636970497,-0.357340958,0.826652317,-0.241415166
11,2014,0.0,2015/7/1,2016/6/30,-0.110524821,0.920149552,-0.149540607,0.75667588,-0.851064583
11,2015,0.0,2016/7/1,2017/6/30,0.486910248,0.751338758,-0.787341607,0.253774278,-1.477897206
11,2016,0.0,2017/7/1,2018/6/30,-0.440373657,1.592846518,-0.103075432,0.991646972,0.423474131
11,2017,0.0,2018/7/1,2019/6/30,-0.125653907,1.21615057,0.344173244,1.057624556,0.223258605
11,2018,0.0,2019/7/1,2020/6/30,0.718574377,0.97474074,0.515968377,1.143630074,0.125734335
11,2019,1.3e-05,2020/7/1,2021/6/30,-0.225864392,1.399708537,-0.728759505,1.334536297,0.371993406
12,2014,0.0,2015/7/1,2016/6/30,-0.131187183,1.185322228,-0.023491839,0.433750907,-0.163964151
12,2015,0.0,2016/7/1,2017/6/30,-0.198277905,1.390099278,0.067520575,0.681133426,-0.136275719
12,2016,3.83e-05,2017/7/1,2018/6/30,-0.296138339,1.558348445,0.326526639,0.641856551,0.395701743
12,2017,1.35e-05,2018/7/1,2019/6/30,-0.079703538,1.093374675,0.156669122,0.865707375,0.076892286
12,2018,2.57e-05,2019/7/1,2020/6/30,0.188846423,1.169370559,0.321259693,0.492251139,-0.392109376
12,2019,1.19e-05,2020/7/1,2021/6/30,1.059974196,1.294375685,-0.491203925,0.937486234,0.146095209
14,2014,0.0,2015/7/1,2016/6/30,-0.238591889,1.158619445,0.402425983,0.824516765,-0.986684169
14,2015,0.0,2016/7/1,2017/6/30,-0.10366553,0.802513329,-0.099678496,0.973399846,-0.282830455
14,2016,0.0,2017/7/1,2018/6/30,-0.102842367,1.034821002,0.149227172,0.987901956,0.461454484
14,2017,0.0,2018/7/1,2019/6/30,-0.377356978,1.274109141,-0.051751961,1.406280939,0.612811154
14,2018,0.0,2019/7/1,2020/6/30,0.108146799,0.966063905,0.740805713,1.161072586,-0.146463248
14,2019,0.0,2020/7/1,2021/6/30,-0.294334004,1.218305098,0.064156193,1.195956117,0.473295703
16,2014,0.0,2015/7/1,2016/6/30,-0.686010598,1.075816588,0.096313831,1.243435484,0.391970727
16,2015,0.0,2016/7/1,2017/6/30,0.00148744,1.148555402,0.554168168,1.015663144,-0.328446478
16,2016,0.0,2017/7/1,2018/6/30,0.089754282,1.641080564,0.358721808,-0.019098139,-0.485315457
16,2017,0.0,2018/7/1,2019/6/30,-0.212296127,1.206824397,0.193541155,0.732778171,-0.329634197
16,2018,1.93e-05,2019/7/1,2020/6/30,0.624161418,1.015862435,0.144022853,0.333539636,-0.598528207
16,2019,0.0,2020/7/1,2021/6/30,-0.008307243,1.247014205,0.582504366,0.540215624,-0.633014536
17,2014,0.0,2015/7/1,2016/6/30,-0.457014924,1.094190005,0.058772509,0.748818452,-0.910734915
17,2015,0.0,2016/7/1,2017/6/30,-0.186954877,0.773930062,-0.153631123,1.808661062,-1.129498793
17,2016,0.0,2017/7/1,2018/6/30,-0.488765059,0.786000676,0.46919979,0.700294349,-0.270458384
