asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br
6,0.061684374,1.224147967,1.247844919,0.767667088,0.00809814,2018,1.28E-05,0.2674101,-0.051235571,0.916666667,-0.240196078
8,-0.009676211,1.019138288,0.33285336,-0.292688106,-0.112288445,2016,5.16E-05,-0.322403628,-0.340896118,-0.195476575,0.757673667
8,0.001622485,0.886615942,-0.202230401,-0.872531972,0.280459994,2017,2.09E-05,-0.247817124,-0.322403628,0.111398964,0.012953368
8,-0.048057413,0.878599896,0.628802777,-0.265922769,-0.057867866,2019,9.54E-06,-0.256721741,-0.229533231,-0.742788462,-0.627403846
11,0.070894886,1.13236036,1.078382542,0.33602093,0.187823107,2019,1.30E-05,-0.225864392,0.718574377,0.860576923,-0.165865385
12,0.018372956,1.211919453,0.503305395,0.356961189,-0.229565563,2016,3.83E-05,-0.296138339,-0.198277905,0.243941842,0.621970921
12,0.003384335,1.46844093,0.721799332,0.006927909,0.104842224,2017,1.35E-05,-0.079703538,-0.296138339,0.334196891,-0.28238342
12,-0.030519485,1.389545416,0.719596662,0.418182527,0.226670151,2018,2.57E-05,0.188846423,-0.079703538,-0.678921569,0.323529412
12,-0.039340847,1.066217485,0.902628348,0.025901685,0.03344519,2019,1.19E-05,1.059974196,0.188846423,-0.629807692,-0.240384615
16,-0.010997549,1.589378134,0.072272942,-0.527751621,0.117073951,2018,1.93E-05,0.624161418,-0.212296127,-0.360294118,0.041666667
19,0.031039691,1.008949474,1.208226337,0.088209127,0.163740576,2019,1.91E-05,-0.085059288,0.135782751,0.538461538,0.120192308
21,-0.021486313,1.131703346,1.019739432,-0.692608066,0.239103024,2016,2.51E-05,-0.2112828,-0.228081148,-0.363489499,0.321486268
21,0.004425119,1.060231051,0.505004565,-0.235986264,0.426970377,2017,1.08E-05,0.188620373,-0.2112828,0.46373057,-0.652849741
31,-0.00288533,1.189930367,0.108342701,-0.249000492,0.569279764,2017,2.67E-05,0.12209808,-0.236499368,-0.42746114,0.259067358
31,-0.018377526,1.295490412,1.574666661,1.367866302,0.431951833,2018,5.92E-06,-0.219331797,0.12209808,-0.50245098,-0.990196078
32,0.000154624,1.052319286,0.98104965,-0.72199709,-0.160510184,2016,4.68E-05,-0.526468029,0.017255992,-0.066235864,0.725363489
32,0.083873037,1.197861496,0.681418366,-0.54170445,-0.002052875,2018,1.89E-05,1.168592659,0.314456787,0.965686275,0.031862745
32,0.008415748,1.092323681,0.730676199,-0.512615317,0.271603434,2019,1.97E-05,-0.138768803,1.168592659,0.189903846,0.175480769
35,0.005006339,0.859242855,0.466151764,-0.621560598,0.010633793,2017,8.81E-06,-0.12082868,-0.04799894,0.5,-0.898963731
35,-0.044088777,0.816675628,0.80091092,-0.264192376,0.405273907,2019,4.22E-05,-0.119732565,-0.162974964,-0.6875,0.737980769
36,0.044231746,1.155382814,1.045981549,-0.157869243,0.717487376,2016,2.48E-05,-0.28155691,0.091975865,0.583198708,0.308562197
37,-0.04719841,0.874514299,1.268009547,-0.173534567,-0.364243709,2019,3.32E-05,-0.337294114,-0.059739335,-0.725961538,0.586538462
39,0.05418576,1.370492689,0.340898871,-0.06330012,0.679546003,2016,2.01E-05,-0.272276566,0.273429266,0.670436187,0.0726979
39,0.008939906,1.071228745,0.511519261,-0.199160589,0.117574674,2017,3.19E-05,0.013193088,-0.272276566,0.720207254,0.401554404
39,-0.015167844,1.72971818,0.975722659,0.642729109,0.196432251,2018,2.48E-05,-0.322696611,0.013193088,-0.433823529,0.276960784
40,-0.007105717,0.747439054,0.954203842,0.364659741,-0.244828022,2019,8.59E-06,-0.058998452,-0.559088849,-0.125,-0.805288462
50,0.00080047,1.609973479,0.934303815,-0.057658164,0.238188248,2018,8.29E-06,0.132559398,-0.064551357,-0.024509804,-0.897058824
55,0.016602331,1.067959061,1.404957328,0.104031971,0.157148998,2016,6.25E-05,-0.221132864,-0.411505827,0.205169628,0.838449111
55,-0.008503455,0.788629637,0.719976533,-0.266521724,0.297273996,2017,3.57E-05,-0.074416991,-0.221132864,-0.759067358,0.494818653
55,0.063496161,1.408929613,1.168994275,0.55374787,0.26506964,2018,6.19E-05,-0.149733938,-0.074416991,0.924019608,0.848039216
55,-0.063572007,1.072313433,1.285039524,0.070134959,0.034794098,2019,5.78E-05,0.047863148,-0.149733938,-0.850961538,0.862980769
59,0.011299721,1.076608938,0.796677322,0.605678067,-0.281648272,2019,2.76E-05,0.797015222,-0.270647977,0.235576923,0.471153846
60,-0.03631131,1.274643455,0.085198791,-1.269888327,0.623857153,2016,9.04E-06,-0.339990675,0.061161393,-0.55088853,-0.886914378
60,-0.00500978,1.506559248,0.993607026,0.675385399,-0.165005604,2018,2.36E-05,-0.202874188,-0.033393137,-0.18872549,0.225490196
60,-0.025697404,1.305245525,0.717221872,0.406900758,0.040409224,2019,1.63E-05,0.219126756,-0.202874188,-0.454326923,-0.024038462
65,-0.04954178,1.207761923,0.625116394,-0.894213672,-0.084818335,2016,8.13E-05,-0.520266378,0.090783823,-0.705977383,0.909531502
65,0.028572002,0.963377407,1.059215084,-0.363177516,-0.490647341,2017,0.000192438,0.132845187,-0.520266378,0.966321244,0.989637306
65,0.025055216,1.47250809,0.677220378,-0.057319353,0.695937881,2018,0.000110069,-0.165083947,0.132845187,0.556372549,0.980392157
65,0.027258252,1.282325965,1.210120677,0.456468795,0.016784143,2019,0.000201098,0.176098413,-0.165083947,0.485576923,0.995192308
69,-0.004805404,1.399157135,-0.6391298,0.115337016,0.264071987,2017,1.08E-05,0.034928684,-0.292330618,-0.598445596,-0.652849741
70,-0.019887329,1.028948021,1.232290122,-0.348242642,-0.0472222,2016,3.41E-05,-0.390256724,-0.113351472,-0.331179321,0.525040388
70,0.001826791,1.008635636,1.141974571,0.174581346,-0.240415905,2017,1.10E-05,1.000893613,-0.390256724,0.147668394,-0.621761658
70,-0.038285549,0.988232684,0.868422195,-1.869387668,0.143864354,2019,9.36E-06,-0.177640255,-0.211873373,-0.615384615,-0.663461538
88,-0.05390295,1.170967536,0.476646,-0.208394057,0.491139385,2016,2.63E-05,-0.381722289,0.614701504,-0.754442649,0.360258481
88,0.030071015,1.05413304,1.062781404,-0.041666918,-0.608288087,2017,3.78E-05,-0.177024709,-0.381722289,0.971502591,0.551813472
88,0.023693541,1.265161756,0.815878299,0.092772586,0.23313725,2018,1.21E-05,0.071539667,-0.177024709,0.539215686,-0.318627451
88,-0.007109237,1.202264,0.730605322,0.246596344,0.164512561,2019,1.23E-05,0.004991045,0.071539667,-0.129807692,-0.221153846
89,0.033396623,1.110828078,1.027629341,0.196565979,0.637429849,2016,2.58E-05,-0.174571306,0.091190642,0.457189015,0.34733441
89,0.003437511,1.108940899,-0.047220034,0.400567865,0.202039353,2017,1.16E-05,0.144915447,-0.174571306,0.349740933,-0.528497409
89,-0.037219412,0.859888887,-0.140874968,-0.119063612,0.219311119,2018,4.48E-05,-0.134802545,0.144915447,-0.75245098,0.703431373
89,0.012665202,0.829064161,-0.344793366,-0.070161417,-0.067241955,2019,3.15E-05,-0.001212601,-0.134802545,0.257211538,0.5625
90,-0.029972222,1.13468186,0.828424119,-0.394437853,0.115658227,2016,1.66E-05,-0.322281195,0.265611036,-0.486268174,-0.056542811
90,0.003882695,0.985631453,1.357500422,0.952667686,-0.159755776,2017,2.09E-05,0.059439259,-0.322281195,0.39119171,0.012953368
