asset,beta_bri,year,br,compounded_xret,rank_beta,rank_br,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,soe
6,0.061684374,2018,1.28E-05,0.2674101,0.916666667,-0.240196078,1.261156134,0.858604439,0.608942921,0.069193311,1
8,-0.009676211,2016,5.16E-05,-0.322403628,-0.195476575,0.757673667,0.886615942,-0.202230401,-0.872531972,0.280459994,1
8,-0.048057413,2019,9.54E-06,-0.256721741,-0.742788462,-0.627403846,0.948158027,0.909435463,0.162840619,0.344711842,1
11,0.070894886,2019,1.30E-05,-0.225864392,0.860576923,-0.165865385,0.899474753,1.481239047,0.567064929,0.004257005,1
12,0.018372956,2016,3.83E-05,-0.296138339,0.243941842,0.621970921,1.46844093,0.721799332,0.006927909,0.104842224,0
12,0.003384335,2017,1.35E-05,-0.079703538,0.334196891,-0.28238342,1.389545416,0.719596662,0.418182527,0.226670151,0
12,-0.030519485,2018,2.57E-05,0.188846423,-0.678921569,0.323529412,1.066217485,0.902628348,0.025901685,0.03344519,0
12,-0.039340847,2019,1.19E-05,1.059974196,-0.629807692,-0.240384615,1.195506062,0.264493551,-0.586635914,0.474632118,0
16,-0.010997549,2018,1.93E-05,0.624161418,-0.360294118,0.041666667,1.202762939,0.677032289,-0.483943814,0.271859944,1
19,0.031039691,2019,1.91E-05,-0.085059288,0.538461538,0.120192308,0.954609551,1.457907536,0.497267261,0.110891823,1
21,-0.021486313,2016,2.51E-05,-0.2112828,-0.363489499,0.321486268,1.060231051,0.505004565,-0.235986264,0.426970377,1
21,0.004425119,2017,1.08E-05,0.188620373,0.46373057,-0.652849741,1.200908012,0.200514751,-1.564066686,-0.601982833,1
31,-0.00288533,2017,2.67E-05,0.12209808,-0.42746114,0.259067358,1.295490412,1.574666661,1.367866302,0.431951833,1
31,-0.018377526,2018,5.92E-06,-0.219331797,-0.50245098,-0.990196078,1.257684801,0.776975353,0.714421188,0.049653555,1
32,0.083873037,2018,1.89E-05,1.168592659,0.965686275,0.031862745,1.092323681,0.730676199,-0.512615317,0.271603434,1
32,0.008415748,2019,1.97E-05,-0.138768803,0.189903846,0.175480769,1.135457261,1.035242431,-0.973787463,0.464824547,1
35,-0.044088777,2019,4.22E-05,-0.119732565,-0.6875,0.737980769,0.880254317,0.461869486,0.184743018,-0.118744539,0
36,0.044231746,2016,2.48E-05,-0.28155691,0.583198708,0.308562197,0.878585385,0.950403522,0.754201542,-0.050302128,0
37,-0.04719841,2019,3.32E-05,-0.337294114,-0.725961538,0.586538462,1.032945542,0.70334941,0.16926508,-0.223495601,1
39,0.05418576,2016,2.01E-05,-0.272276566,0.670436187,0.0726979,1.071228745,0.511519261,-0.199160589,0.117574674,1
39,0.008939906,2017,3.19E-05,0.013193088,0.720207254,0.401554404,1.72971818,0.975722659,0.642729109,0.196432251,1
39,-0.015167844,2018,2.48E-05,-0.322696611,-0.433823529,0.276960784,1.199469731,0.308204052,0.152827479,0.236189548,1
40,-0.007105717,2019,8.59E-06,-0.058998452,-0.125,-0.805288462,1.328340525,1.161461231,-0.593982035,0.570679777,0
50,0.00080047,2018,8.29E-06,0.132559398,-0.024509804,-0.897058824,1.062856659,0.260008283,-1.137718748,-0.166706283,1
55,0.016602331,2016,6.25E-05,-0.221132864,0.205169628,0.838449111,0.788629637,0.719976533,-0.266521724,0.297273996,0
55,-0.008503455,2017,3.57E-05,-0.074416991,-0.759067358,0.494818653,1.408929613,1.168994275,0.55374787,0.26506964,0
55,0.063496161,2018,6.19E-05,-0.149733938,0.924019608,0.848039216,1.072313433,1.285039524,0.070134959,0.034794098,0
55,-0.063572007,2019,5.78E-05,0.047863148,-0.850961538,0.862980769,1.119157171,1.204574796,0.276371335,0.467934804,0
59,0.011299721,2019,2.76E-05,0.797015222,0.235576923,0.471153846,0.759056049,0.744656154,0.348140473,0.207102384,1
60,-0.03631131,2016,9.04E-06,-0.339990675,-0.55088853,-0.886914378,1.728704827,-0.268335656,-0.686516576,-0.219507638,1
60,-0.00500978,2018,2.36E-05,-0.202874188,-0.18872549,0.225490196,1.305245525,0.717221872,0.406900758,0.040409224,1
60,-0.025697404,2019,1.63E-05,0.219126756,-0.454326923,-0.024038462,1.038944835,0.378242624,0.072111151,0.63195508,1
65,-0.04954178,2016,8.13E-05,-0.520266378,-0.705977383,0.909531502,0.963377407,1.059215084,-0.363177516,-0.490647341,1
65,0.028572002,2017,0.000192438,0.132845187,0.966321244,0.989637306,1.47250809,0.677220378,-0.057319353,0.695937881,1
65,0.025055216,2018,0.000110069,-0.165083947,0.556372549,0.980392157,1.282325965,1.210120677,0.456468795,0.016784143,1
65,0.027258252,2019,0.000201098,0.176098413,0.485576923,0.995192308,1.152670802,1.312577542,0.66865216,0.206596327,1
69,-0.004805404,2017,1.08E-05,0.034928684,-0.598445596,-0.652849741,1.391837233,-0.173451917,0.784894407,0.385684111,1
70,-0.019887329,2016,3.41E-05,-0.390256724,-0.331179321,0.525040388,1.008635636,1.141974571,0.174581346,-0.240415905,1
70,0.001826791,2017,1.10E-05,1.000893613,0.147668394,-0.621761658,1.122232759,0.821914334,-0.818586143,-0.308871925,1
70,-0.038285549,2019,9.36E-06,-0.177640255,-0.615384615,-0.663461538,1.094529175,0.934007774,-1.940608237,0.714502809,1
88,-0.05390295,2016,2.63E-05,-0.381722289,-0.754442649,0.360258481,1.05413304,1.062781404,-0.041666918,-0.608288087,1
88,0.030071015,2017,3.78E-05,-0.177024709,0.971502591,0.551813472,1.265161756,0.815878299,0.092772586,0.23313725,1
88,0.023693541,2018,1.21E-05,0.071539667,0.539215686,-0.318627451,1.202264,0.730605322,0.246596344,0.164512561,1
88,-0.007109237,2019,1.23E-05,0.004991045,-0.129807692,-0.221153846,0.873974529,0.714505359,0.10385963,0.552707188,1
89,0.033396623,2016,2.58E-05,-0.174571306,0.457189015,0.34733441,1.108940899,-0.047220034,0.400567865,0.202039353,1
89,0.003437511,2017,1.16E-05,0.144915447,0.349740933,-0.528497409,0.859888887,-0.140874968,-0.119063612,0.219311119,1
89,-0.037219412,2018,4.48E-05,-0.134802545,-0.75245098,0.703431373,0.829064161,-0.344793366,-0.070161417,-0.067241955,1
89,0.012665202,2019,3.15E-05,-0.001212601,0.257211538,0.5625,0.998358653,-0.186977708,-0.158410699,0.475640554,1
90,-0.029972222,2016,1.66E-05,-0.322281195,-0.486268174,-0.056542811,0.985631453,1.357500422,0.952667686,-0.159755776,1
90,0.003882695,2017,2.09E-05,0.059439259,0.39119171,0.012953368,1.175817997,0.936442569,0.350707678,0.303842338,1
90,0.020841717,2018,4.12E-05,0.467283144,0.473039216,0.637254902,1.170872465,0.937913331,0.492163739,0.056706981,1
90,0.026089545,2019,2.03E-05,-0.161159567,0.463942308,0.223557692,1.010675029,0.452543556,0.135468989,0.475873939,1
99,0.015919511,2018,1.34E-05,-0.037222313,0.37254902,-0.193627451,1.091166636,0.591246016,-0.47862519,0.581333742,1
99,-0.000200354,2019,1.24E-05,-0.025499337,0.048076923,-0.213942308,1.095514056,1.019561634,0.229430171,0.14205174,1
100,0.029985757,2018,7.17E-06,0.874545986,0.637254902,-0.965686275,1.138365001,0.640481338,-0.143402703,0.301760507,0
151,-0.002421692,2016,4.82E-05,-0.363174933,-0.105008078,0.728594507,0.999389846,1.047561381,-0.702449716,-0.179713192,1
151,0.035621271,2017,9.28E-05,-0.00778693,0.984455959,0.924870466,1.151425651,1.342615769,-0.192932233,0.318085455,1
151,-0.006665953,2018,0.000119437,-0.275758433,-0.245098039,0.982843137,1.206562553,0.757776904,-0.535342593,0.740658945,1
151,-0.005548357,2019,6.23E-05,-0.155431407,-0.069711538,0.894230769,1.00970964,1.0915216,0.038376884,0.528917368,1
153,-0.069614404,2018,1.32E-05,0.236939445,-0.93872549,-0.210784314,1.116639402,1.23979122,0.266948121,0.087702309,0
156,-0.003546019,2017,1.23E-05,0.15256975,-0.461139896,-0.406735751,1.397328485,0.262091544,0.031700572,0.653339048,1
157,0.033094591,2016,6.66E-05,-0.069239394,0.453957997,0.857835218,0.962650178,0.528927258,0.510555722,-0.127654796,0
157,0.004012932,2017,9.28E-05,0.514150317,0.411917098,0.924870466,0.721933385,0.496108575,0.378005431,0.012802344,0
157,0.001492929,2018,7.58E-05,0.101317382,-0.009803922,0.916666667,0.970018899,0.748684258,0.84305948,-0.009636804,0
157,-0.011493436,2019,5.74E-05,0.454091323,-0.204326923,0.860576923,1.23706099,0.303200528,1.026768508,-0.166283794,0
