asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
32,0.083873037,2018,1.89e-05,1.168592659,0.314456787,0.965686275,0.031862745,-0.31113128,1.092323681,0.730676199,-0.512615317,0.271603434,2232463.7900000005
55,0.063496161,2018,6.19e-05,-0.149733938,-0.074416991,0.924019608,0.848039216,-0.334215835,1.072313433,1.285039524,0.070134959,0.034794098,3924520.5083333296
151,-0.006665953,2018,0.000119437,-0.275758433,-0.00778693,-0.245098039,0.982843137,-0.164410317,1.206562553,0.757776904,-0.535342593,0.740658945,3329578.3883333337
153,-0.069614404,2018,1.32e-05,0.236939445,-0.033576339,-0.93872549,-0.210784314,-0.359005118,1.116639402,1.23979122,0.266948121,0.087702309,2098826.814166667
159,0.01637884,2018,1.15e-05,-0.383109778,1.046892888,0.389705882,-0.416666667,-0.211419751,1.140929485,2.486061126,1.056116478,-0.218246498,2038025.8591666666
498,-0.008287271,2018,2.53e-05,-0.085778958,0.264962364,-0.272058824,0.299019608,-0.242121528,1.014419139,0.540686065,0.183533449,-0.355981557,2307431.750000001
506,0.151622028,2018,3.84e-05,-0.397343129,0.199292735,0.99754902,0.602941176,-0.639616945,0.845073264,0.943028666,-0.771298158,-0.1371875,3539268.2177777803
524,0.029792271,2018,4.79e-05,-0.275371756,-0.044601977,0.634803922,0.730392157,-0.385972756,1.057193666,0.913448383,0.268798019,-0.097318125,2391394.7258333336
533,0.009551806,2018,2.23e-05,-0.063288915,-0.233604402,0.225490196,0.161764706,-0.763823857,1.021828986,2.149318995,0.23478703,-0.439974334,2845769.471000001
548,0.01854,2018,1.23e-05,-0.176778903,0.005173325,0.421568627,-0.279411765,-0.34488058,0.893326753,1.216551801,0.32254376,-0.412380858,2555077.3524999972
551,0.028695169,2018,8.1e-05,0.437802743,0.145159803,0.615196078,0.931372549,-0.295300904,1.09600237,1.485734231,0.388870579,-0.208462402,2514505.343333337
561,-0.038769472,2018,3.86e-05,0.014990246,0.148313717,-0.764705882,0.610294118,-0.353266048,1.01569106,0.382189291,-1.450855523,0.841334375,3880746.8450000025
570,0.000259244,2018,4.2e-05,-0.140699131,0.199951782,-0.044117647,0.651960784,-0.335630464,1.175489521,1.548893032,0.675044207,-0.408611996,1827187.6316666668
582,0.058133605,2018,5.47e-05,0.195823087,0.187622372,0.906862745,0.789215686,-0.260663662,0.956992526,1.192831898,0.647164097,-0.468611312,2190714.178333332
586,-0.028073995,2018,1.32e-05,-0.23755945,0.120561163,-0.651960784,-0.210784314,-0.364808206,0.985290908,0.868445432,-1.072874294,-0.332133451,2233103.600000002
599,0.04098631,2018,1.26e-05,-0.069579138,-0.097207364,0.772058824,-0.257352941,-0.420340219,1.156198272,1.216718627,0.266382649,0.049685233,3224394.6633333326
619,0.019394603,2018,4.26e-05,-0.133630667,-0.140369338,0.43872549,0.664215686,-0.385124919,0.751365136,1.055827807,0.504701488,-0.079009512,2343600.0000000005
628,-0.020003491,2018,1.22e-05,-0.197731569,0.232502197,-0.531862745,-0.301470588,0.163240949,0.959651959,1.273591766,0.383366032,0.070976879,1662059.5075000005
668,0.047980929,2018,1.4e-05,0.158201796,0.460466863,0.833333333,-0.154411765,-0.347421978,1.063786195,1.154376709,-0.112379205,0.017331483,1658556.764166666
680,0.015116101,2018,9.18e-05,-0.180021536,0.185696597,0.352941176,0.963235294,-0.367516762,1.236941717,1.197240688,0.613662842,-0.560896119,4067403.147500006
